date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:53:14	1120/1120	---M--	200	added ('OK')	image/png	etag:W/%221120-1597561249591%22	https://anushreeingale7.responsivewebsitebuilder.io/editor/direct/images/template/livemarks.png	C:/Users/Home%20PC/Desktop/serviceVm/anushreeingale7.responsivewebsitebuilder.io/editor/direct/images/template/livemarks.png	(from https://anushreeingale7.responsivewebsitebuilder.io/editor/direct/css/template.css)
12:53:16	1020/1020	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2017%20Aug%202020%2007:23:17%20GMT	https://anushreeingale7.responsivewebsitebuilder.io/editor/direct/images/template/system/selector-arrow.png	C:/Users/Home%20PC/Desktop/serviceVm/anushreeingale7.responsivewebsitebuilder.io/editor/direct/images/template/system/selector-arrow.38.delayed	(from https://anushreeingale7.responsivewebsitebuilder.io/editor/direct/css/template.css)
12:53:22	1020/1020	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2017%20Aug%202020%2007:23:23%20GMT	https://anushreeingale7.responsivewebsitebuilder.io/editor/direct/images/template/system/notice-info.png	C:/Users/Home%20PC/Desktop/serviceVm/anushreeingale7.responsivewebsitebuilder.io/editor/direct/images/template/system/notice-info.39.delayed	(from https://anushreeingale7.responsivewebsitebuilder.io/editor/direct/css/template.css)
12:53:30	1020/1020	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2017%20Aug%202020%2007:23:31%20GMT	https://anushreeingale7.responsivewebsitebuilder.io/editor/direct/images/template/system/notice-alert.png	C:/Users/Home%20PC/Desktop/serviceVm/anushreeingale7.responsivewebsitebuilder.io/editor/direct/images/template/system/notice-alert.3a.delayed	(from https://anushreeingale7.responsivewebsitebuilder.io/editor/direct/css/template.css)
12:53:34	1020/1020	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2017%20Aug%202020%2007:23:35%20GMT	https://anushreeingale7.responsivewebsitebuilder.io/editor/direct/images/template/notice-note.png	C:/Users/Home%20PC/Desktop/serviceVm/anushreeingale7.responsivewebsitebuilder.io/editor/direct/images/template/notice-note.3b.delayed	(from https://anushreeingale7.responsivewebsitebuilder.io/editor/direct/css/template.css)
12:53:37	83/83	---M--	200	added ('OK')	image/png	etag:W/%2283-1597561249591%22	https://anushreeingale7.responsivewebsitebuilder.io/editor/direct/images/template/signout_popup_left.png	C:/Users/Home%20PC/Desktop/serviceVm/anushreeingale7.responsivewebsitebuilder.io/editor/direct/images/template/signout_popup_left.png	(from https://anushreeingale7.responsivewebsitebuilder.io/editor/direct/css/template.css)
12:53:41	84/84	---M--	200	added ('OK')	image/png	etag:W/%2284-1597561249591%22	https://anushreeingale7.responsivewebsitebuilder.io/editor/direct/images/template/signout_popup_right.png	C:/Users/Home%20PC/Desktop/serviceVm/anushreeingale7.responsivewebsitebuilder.io/editor/direct/images/template/signout_popup_right.png	(from https://anushreeingale7.responsivewebsitebuilder.io/editor/direct/css/template.css)
12:53:42	150/150	---M--	200	added ('OK')	image/png	etag:W/%22150-1597561249591%22	https://anushreeingale7.responsivewebsitebuilder.io/editor/direct/images/template/signout_popup_bottom_left.png	C:/Users/Home%20PC/Desktop/serviceVm/anushreeingale7.responsivewebsitebuilder.io/editor/direct/images/template/signout_popup_bottom_left.png	(from https://anushreeingale7.responsivewebsitebuilder.io/editor/direct/css/template.css)
12:53:46	83/83	---M--	200	added ('OK')	image/png	etag:W/%2283-1597561249591%22	https://anushreeingale7.responsivewebsitebuilder.io/editor/direct/images/template/signout_popup_bottom.png	C:/Users/Home%20PC/Desktop/serviceVm/anushreeingale7.responsivewebsitebuilder.io/editor/direct/images/template/signout_popup_bottom.png	(from https://anushreeingale7.responsivewebsitebuilder.io/editor/direct/css/template.css)
12:53:48	162/162	---M--	200	added ('OK')	image/png	etag:W/%22162-1597561249591%22	https://anushreeingale7.responsivewebsitebuilder.io/editor/direct/images/template/signout_popup_bottom_right.png	C:/Users/Home%20PC/Desktop/serviceVm/anushreeingale7.responsivewebsitebuilder.io/editor/direct/images/template/signout_popup_bottom_right.png	(from https://anushreeingale7.responsivewebsitebuilder.io/editor/direct/css/template.css)
